name,longitude,latitude
S_E_PLAYA_ANCHA,-71.64797699999997,-33.04318500099998
S_E_POLPAICO_(ENEL_DISTRIBUCION),-70.82671499999998,-33.11899000099993
S_E_POLPAICO_TRANSELEC,-70.86088799999999,-33.197987000999944
S_E_PRINCIPAL_MINA_NAVIO,-71.19658899999996,-32.671082000999945
S_E_PRINCIPAL_PLANTA_POLPAICO,-70.83192199999996,-33.15210700099993
S_E_PUNTA_PEUCO_(CEMENTO_POLPAICO),-70.82713843999994,-33.118983310999965
S_E_QUEREO,-71.47688299999999,-31.939488000999972
S_E_SECCIONADORA_LO_AGUIRRE,-70.8977,-33.4401
S_E_QUILLOTA,-71.25022099999995,-32.953082000999984
S_E_QUILPUE,-71.42395199999999,-33.039365000999965
S_E_QUINQUIMO,-71.32521799999995,-32.43773700099996
S_E_QUINTAY,-71.65960099999995,-33.20969300099995
S_E_QUINTERO,-71.48385899999994,-32.75181400099996
S_E_REFUGIO_KM_21,-70.25312708099995,-33.03582112999993
S_E_REÑACA,-71.52902899999998,-32.97998900099998
S_E_RIECILLOS,-70.35373999999996,-32.92448800099993
S_E_RIO_ACONCAGUA,-70.98821436999998,-32.82093496099998
S_E_RIO_BLANCO,-70.30132099999997,-32.910973000999945
S_E_RUNGUE,-70.89810699999998,-33.00866100099995
S_E_RUNGUE_(FFCC),-70.89387499999998,-33.008426000999975
S_E_SAG,-70.25573038999994,-33.09277246099998
S_E_SAG_1,-70.29040999999995,-33.14801700099997
S_E_SAG_2,-70.29040999999995,-33.14801700099997
S_E_SALADILLO,-70.26998099999997,-32.95161400099994
S_E_SANTA_FILOMENA,-70.56623299999995,-33.19386000099996
S_E_SAN_FELIPE,-70.71524499999998,-32.76108500099997
S_E_SAN_FRANCISCO,-70.33522399999998,-33.17404000099998
S_E_SAN_LUIS,-71.31529999999998,-32.937477000999934
S_E_SAN_PEDRO_CTNG,-71.26486299999993,-32.93624300099998
S_E_SAN_PEDRO_FFCC,-71.26443902199998,-32.935898434999956
S_E_SAN_RAFAEL_CHILQUINTA,-70.61279999999994,-32.824195000999964
S_E_SEAT_EL_SOL,-71.42395399999998,-33.039954000999955
S_E_SER_EL_SALTO,-71.51387899999997,-33.04633900099998
S_E_SER_PORTALES,-71.58444440799997,-33.02583349799994
S_E_SER_VILLA_ALEMANA,-71.37115099999994,-33.04222500099996
S_E_SPPC,-70.28587007799996,-32.92660819899993
S_E_TORQUEMADA,-71.47229799999997,-32.93531200099994
S_E_TOTORALILLO,-70.50574299999994,-32.85396500099995
S_E_TUNEL_EL_MELON,-71.23038299999996,-32.62993500099998
S_E_VALPARAISO,-71.62207799999999,-33.05545700099998
S_E_VENTANAS,-71.48100299999999,-32.74945700099994
Salamanca,-70.63084690390929,-32.04555882339506
San_Esteban,-70.56044652514782,-32.745357687689456
San_Felipe,-70.7474054056282,-32.742551521224414
San_José_de_Maipo,-70.18084317092071,-33.160481525434236
Santa_María,-70.6182204591212,-32.74056535299229
TAP_OFF_MAURO,-70.85111042599993,-31.947145286999955
TAP_OFF_MAYACA,-71.18104999999997,-32.866567000999964
TAP_OFF_PUNTA_PEUCO,-70.82713841299994,-33.11898331799995
TERMINAL_MARITIMO_QUINTERO,-71.48939286799998,-32.77261039199993
TERMINAL_QUINTERO,-71.48064964699995,-32.769459103999964
TIJERAL,-71.07980269899997,-32.33146745099998
TILTIL_SOLAR,-70.81996840199997,-32.95754991899997
TMQ,-71.48768537299998,-32.76824755999996
TORTOLAS_DEL_VERANO,-70.52687637399998,-32.88136894999997
TPI,-71.49615859799997,-32.77830076199996
TRANQUE_DEL_SOL,-71.18748789899996,-32.722129766999956
TUCUQUERE,-70.97138200899997,-32.78443483099994
Tiltil,-70.8296878742342,-33.08241965818668
VALPARAISO,-70.99589447699998,-32.837435288999984
VILLA_MOSCOSO,-71.36517868899995,-33.09162511499994
Valparaíso,-71.58775290265626,-33.145489041995404
Villa_Alemana,-71.32715360779771,-33.05990112906326
YAHUTELA,-70.97277679699994,-32.78716349399997
Zapallar,-71.32170329238971,-32.58709372136009
LAS_VEGAS_PMG,-70.6433,-31.1789
